Date,Open,High,Low,Close,Volume,Adjusted,AssetSymbol,DataSource
2016-07-05,95.389999,95.400002,94.459999,94.989998,27705200,93.589829,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-06,94.599998,95.660004,94.370003,95.529999,30949100,94.12187,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-07,95.699997,96.5,95.620003,95.940002,25139600,94.525831,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-08,96.489998,96.889999,96.050003,96.68,28912100,95.254921,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-11,96.75,97.650002,96.730003,96.980003,23794900,95.550502,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-12,97.169998,97.699997,97.120003,97.419998,24167500,95.984011,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-13,97.410004,97.669998,96.839996,96.870003,25892200,95.442123,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-14,97.389999,98.989998,97.32,98.790001,38919000,97.33382,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-15,98.919998,99.300003,98.5,98.779999,30137000,97.323965,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-18,98.699997,100.129997,98.599998,99.830002,36493900,98.358491,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-19,99.559998,100.0,99.339996,99.870003,23779900,98.397902,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-20,100.0,100.459999,99.739998,99.959999,26276000,98.486572,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-21,99.830002,101.0,99.129997,99.43,32702000,97.964385,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-22,99.260002,99.300003,98.309998,98.660004,28313700,97.205739,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-25,98.25,98.839996,96.919998,97.339996,40382900,95.905188,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-26,96.82,97.970001,96.419998,96.669998,56239800,95.245066,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-27,104.269997,104.349998,102.75,102.949997,92344800,101.432497,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-28,102.830002,104.449997,102.82,104.339996,39869800,102.802007,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-29,104.190002,104.550003,103.68,104.209999,27733700,102.673926,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-01,104.410004,106.150002,104.410004,106.050003,38167900,104.486808,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-02,106.050003,106.07,104.0,104.480003,33816600,102.93995,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-03,104.809998,105.839996,104.769997,105.790001,30202600,104.230638,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-04,105.580002,106.0,105.279999,105.870003,27408700,104.874527,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-05,106.269997,107.650002,106.18,107.480003,40553400,106.469389,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-08,107.519997,108.370003,107.160004,108.370003,28037200,107.35102,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-09,108.230003,108.940002,108.010002,108.809998,26315200,107.786878,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-10,108.709999,108.900002,107.760002,108.0,24008500,106.984496,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-11,108.519997,108.93,107.849998,107.93,27484500,106.915155,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-12,107.779999,108.440002,107.779999,108.18,18660400,107.162804,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-15,108.139999,109.540001,108.080002,109.480003,25868200,108.450584,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-16,109.629997,110.230003,109.209999,109.379997,33794400,108.351518,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-17,109.099998,109.370003,108.339996,109.220001,25356000,108.193026,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-18,109.230003,109.599998,109.019997,109.080002,21984700,108.054343,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-19,108.769997,109.690002,108.360001,109.360001,25368100,108.331709,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-22,108.860001,109.099998,107.849998,108.510002,25820200,107.489703,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-23,108.589996,109.32,108.529999,108.849998,21257700,107.826502,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-24,108.57,108.75,107.68,108.029999,23675100,107.014213,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-25,107.389999,107.879997,106.68,107.57,25086200,106.558539,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-26,107.410004,107.949997,106.309998,106.940002,27766300,105.934466,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-29,106.620003,107.440002,106.290001,106.82,24970300,105.815591,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-30,105.800003,106.5,105.5,106.0,24863900,105.003302,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-08-31,105.660004,106.57,105.639999,106.099998,29662400,105.10236,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
